YLR079W,YGL003C
YDL056W,YMR199W
YDL056W,YPR120C
YER111C,YGL003C
YER111C,YDL056W
YGL003C,YMR199W
YMR043W,YPR120C
YAL040C,YMR043W
YER111C,YPR120C
YER111C,YLR079W
YER111C,YAL040C
YGR108W,YDL056W
YGR108W,YDR146C
YMR043W,YMR043W
YMR043W,YDL056W
YMR043W,YMR199W
YPR120C,YER111C
YGL116W,YGL003C
YGL116W,YMR199W
YGL116W,YLR079W
YGL116W,YER111C
YGL116W,YMR043W
YGR108W,YGL116W
YGR108W,YDR146C
YGR108W,YGR108W
YGR108W,YAL040C
YMR199W,YDR146C
YDR146C,YGL116W
YDR146C,YER111C
YPR120C,YLR079W
YDL056W,YAL040C
YMR199W,YGL003C
YMR199W,YDL056W
YMR199W,YMR043W
YMR199W,YER111C
YMR199W,YGR108W
YDR146C,YGL116W
YDR146C,YAL040C
